"game_pk","season","official_date","weekday","has_abs_challenges","n_mj_event","n_mj_play","max_remaining"
722793,2023,"2023-04-20","Thursday","FALSE",0,0,
722797,2023,"2023-04-20","Thursday","FALSE",0,0,
722876,2023,"2023-04-20","Thursday","FALSE",0,0,
723097,2023,"2023-04-20","Thursday","FALSE",0,0,
723173,2023,"2023-04-20","Thursday","FALSE",0,0,
723321,2023,"2023-04-20","Thursday","FALSE",0,0,
723392,2023,"2023-04-20","Thursday","FALSE",0,0,
723474,2023,"2023-04-20","Thursday","FALSE",0,0,
723824,2023,"2023-04-20","Thursday","FALSE",0,0,
723878,2023,"2023-04-20","Thursday","FALSE",0,0,
723887,2023,"2023-04-20","Thursday","FALSE",0,0,
725391,2023,"2023-04-20","Thursday","FALSE",0,0,
721350,2023,"2023-04-21","Friday","FALSE",0,0,
721426,2023,"2023-04-21","Friday","FALSE",0,0,
721574,2023,"2023-04-21","Friday","FALSE",0,0,
722027,2023,"2023-04-21","Friday","FALSE",0,0,
722796,2023,"2023-04-21","Friday","FALSE",0,0,
722865,2023,"2023-04-21","Friday","FALSE",0,0,
723094,2023,"2023-04-21","Friday","FALSE",0,0,
723169,2023,"2023-04-21","Friday","FALSE",0,0,
723318,2023,"2023-04-21","Friday","FALSE",0,0,
723473,2023,"2023-04-21","Friday","FALSE",0,0,
723881,2023,"2023-04-21","Friday","FALSE",0,0,
725390,2023,"2023-04-21","Friday","FALSE",0,0,
721348,2023,"2023-04-22","Saturday","FALSE",0,0,
721422,2023,"2023-04-22","Saturday","FALSE",0,0,
722770,2023,"2023-07-14","Friday","FALSE",0,0,
723056,2023,"2023-07-18","Tuesday","FALSE",0,0,
751442,2024,"2024-03-29","Friday","TRUE",4,1,3
751742,2024,"2024-03-29","Friday","TRUE",6,2,3
751970,2024,"2024-03-29","Friday","TRUE",1,1,3
752114,2024,"2024-03-29","Friday","TRUE",4,2,3
752266,2024,"2024-03-29","Friday","TRUE",7,0,3
752342,2024,"2024-03-29","Friday","TRUE",3,1,3
752637,2024,"2024-03-29","Friday","TRUE",2,3,3
752720,2024,"2024-03-29","Friday","TRUE",3,3,3
752867,2024,"2024-03-29","Friday","TRUE",3,0,3
752942,2024,"2024-03-29","Friday","TRUE",3,0,3
753016,2024,"2024-03-29","Friday","TRUE",4,3,3
753094,2024,"2024-03-29","Friday","TRUE",6,2,3
753616,2024,"2024-03-29","Friday","TRUE",3,3,3
751441,2024,"2024-03-30","Saturday","TRUE",3,2,3
751663,2024,"2024-03-30","Saturday","TRUE",2,1,3
751744,2024,"2024-03-30","Saturday","TRUE",4,2,3
752116,2024,"2024-03-30","Saturday","TRUE",6,2,3
752264,2024,"2024-03-30","Saturday","TRUE",6,0,3
752340,2024,"2024-03-30","Saturday","TRUE",4,4,4
752416,2024,"2024-03-30","Saturday","TRUE",0,1,3
752639,2024,"2024-03-30","Saturday","TRUE",5,2,3
752712,2024,"2024-03-30","Saturday","TRUE",5,3,3
752868,2024,"2024-03-30","Saturday","TRUE",5,1,3
752939,2024,"2024-03-30","Saturday","TRUE",4,0,3
753017,2024,"2024-03-30","Saturday","TRUE",8,1,3
753087,2024,"2024-03-30","Saturday","TRUE",5,2,3
753617,2024,"2024-03-30","Saturday","TRUE",5,2,3
751440,2024,"2024-03-31","Sunday","TRUE",1,2,3
751666,2024,"2024-03-31","Sunday","TRUE",2,2,3
751669,2024,"2024-03-31","Sunday","TRUE",5,0,3
751740,2024,"2024-03-31","Sunday","TRUE",3,1,3
751961,2024,"2024-03-31","Sunday","TRUE",1,0,3
752117,2024,"2024-03-31","Sunday","TRUE",7,4,3
752265,2024,"2024-03-31","Sunday","TRUE",1,2,3
